"","x"
"1","R. João Corrêa Neto, 725 - Jardim Sao Pedro, Dourados - MS, 79810-080"
"2","Diamantino, Caxias do Sul - RS"
"3","APA Norte, Uberaba - MG"
"4","Serafina Corrêa - RS"
"5","R. Porta Medina - Teixeira de Freitas, BA"
"6","Guaratinga, BA, 45840-000"
"7","Rio Tinto, PB, 58297-000"
"8","Jardim Garcia, Campinas - SP"
"9","Balsas - MA"
"10","Nazareno - MG"
"11","Rua jc-2 Qd i1-A LT 31 Jardim Curitiba 04, Goiânia - GO, 74480-450"
"12","Nova Serrana, MG, 35519-000"
"13","Ipiranga do Norte - MT, 78573-000"
"14","Teixeira de Freitas, BA"
"15","Santa Maria da Vitória, BA"
"16","Nova Várzea Grande, Várzea Grande - MT, 78135-730"
"17","Gov. Valadares, MG"
"18","Patos Velhos, Prudentópolis - PR, 84400-000"
"19","São Paulo"
"20","Tauarizinho, Peixe-Boi - PA, 68734-000"
"21","Santa Quitéria, CE, 62280-000"
"22","Sinop - MT"
"23","Bororé, Maçambara - RS, 97645-000"
"24","Castanhal, PA"
"25","Cuiá, João Pessoa - PB"
"26","Guaraí, TO, 77700-000"
"27","São Gonçalo do Piauí - PI"
"28","Lago da Pedra - MA"
"29","Três-Marias, Juazeiro do Norte - CE"
"30","Ladário - MS"
"31","Biguaçu, SC"
"32","Garanhuns, PE"
"33","Bonhu, Russas - CE, 62900-000"
"34","Itabela - BA"
"35","Santa Inês - MA"
"36",NA
"37","Fortim, CE"
"38","R. João Corrêa Neto, 725 - Jardim Sao Pedro, Dourados - MS, 79810-080"
"39","Extremoz - RN"
"40","Goianésia, GO"
"41","Itapuranga, GO, 76680-000"
"42","Estrada Marechal Osório - Farrapos, Porto Alegre - RS, 90250-755"
"43","São José dos Basílios - MA"
"44","Bom Jesus - PI, 64900-000"
"45","Dionísio Cerqueira, SC"
"46","Cafelândia - PR"
"47","Parada Cristal, Caxias do Sul - RS"
"48","R. do Vassoural, 791-755 - Vassoural, Caruaru - PE, 55028-400"
"49","Limeira - SP"
"50","Padre Cícero, Juazeiro do Norte - CE"
"51","Santa Cruz - RN"
"52","Santa Rita de Cássia, BA, 47150-000"
"53",NA
